Issue ID,Issue Name,Category,Severity,Status,Assignee,Date Reported,Date Resolved,Impact Score,Risk Level,KPI/KRI,Department Affected
CSA-194,Target cutting-edge channels,Penetration Testing,Critical,Resolved,Rose Francis,2024-08-07,2024-03-26,3.1,High,KPI,Software Development
CSA-195,Synergize strategic convergence,Director Review_5,High,Resolved,Nicholas Contreras,2024-02-07,2024-03-20,5.4,High,KPI,Network Operations
CSA-196,Enable plug-and-play eyeballs,Asset Identification and Classification,Medium,In Progress,Anthony Lawson,2024-03-13,,4,Low,KPI,IT Security
CSA-197,Seize integrated interfaces,Risk Assessment_1,Medium,Resolved,Sonya Daniels,2024-03-25,2024-07-02,6.5,Medium,KRI,IT Security
CSA-198,Utilize cutting-edge e-services,Asset Identification and Classification,Low,Open,Lauren Ibarra,2024-03-22,2024-03-07,5.6,High,KRI,Penetration Testing Team
CSA-199,Benchmark efficient systems,Threat Identification,Critical,In Progress,Linda Mcneil,2024-06-06,2024-05-31,6.4,Low,KRI,Penetration Testing Team
CSA-200,Incubate best-of-breed convergence,Business Assessment,Critical,Open,Taylor Hammond,2024-01-04,,1.9,High,KPI,Software Engineering
CSA-201,Re-contextualize cutting-edge roi,Director Review_2,High,In Progress,Charles Hernandez,2024-04-13,,2.8,High,KPI,Software Engineering
CSA-202,Drive visionary info-mediaries,Vulnerability Assessment,Critical,In Progress,Brooke Shaw,2024-05-09,,4.9,High,KRI,Software Engineering
CSA-203,Strategize world-class mindshare,Risk Assessment_4,Medium,Resolved,Justin Allen,2024-08-29,,4.7,Medium,KPI,IT Operations
CSA-204,Re-contextualize world-class web-readiness,Risk Assessment_7,High,Resolved,Maria Clark,2024-03-26,2024-01-22,6.5,Medium,KPI,Risk and Compliance
CSA-205,Engineer granular platforms,Risk Assessment_6,Critical,Resolved,Kirsten Dillon,2024-10-09,,4.2,High,KPI,Security and Risk
CSA-206,Exploit 24/365 models,Director Review_2,Medium,Resolved,Alexandra Carter,2024-04-20,2024-04-24,8.3,Low,KPI,Software Engineering
CSA-207,Target proactive partnerships,Risk Assessment_2,Medium,Open,Timothy Davidson,2024-09-14,,4.1,Low,KPI,Software Engineering
CSA-208,Facilitate impactful architectures,Asset Identification and Classification,Low,In Progress,Jeffery Jenkins,2024-05-13,,7.9,Medium,KRI,Security and Risk
CSA-209,Transition bricks-and-clicks systems,Procurement Review,Critical,Resolved,Roberto Acevedo,2024-03-29,2024-02-27,2.8,High,KPI,Software Engineering
CSA-210,Facilitate 24/365 partnerships,Director Review_3,Low,Open,Travis Murphy,2024-07-13,,2.3,Medium,KPI,Software Engineering
CSA-211,Integrate viral technologies,Risk Assessment_1,High,Resolved,Laura Stevens,2024-03-30,,4.4,High,KRI,Risk and Compliance
CSA-212,Enhance extensible e-commerce,Asset Identification and Classification,Critical,Open,Robert Garcia,2024-09-29,2024-06-15,9.3,Low,KPI,IT Operations
CSA-213,Optimize wireless paradigms,Penetration Testing,Low,In Progress,Andrea Morse,2024-02-12,,8.5,Low,KRI,Software Development
CSA-214,Synthesize proactive systems,Director Review_1,Critical,Open,Erika Livingston,2024-03-24,2024-03-03,6.4,Medium,KRI,Software Engineering
CSA-215,Re-contextualize back-end metrics,Business Assessment,High,Resolved,Eric Mcbride,2024-04-04,,3.3,High,KRI,Application Development
CSA-216,Matrix efficient paradigms,Asset Identification and Classification,High,Resolved,John Dickson,2024-03-20,,6,Medium,KRI,Penetration Testing Team
CSA-217,Optimize frictionless applications,Director Review_4,Critical,Resolved,Kenneth Clark,2024-07-18,,3.6,Medium,KRI,Software Engineering
CSA-218,Unleash holistic web services,Risk Assessment_3,Medium,In Progress,Michael Chen,2024-10-11,,2.9,Medium,KRI,Software Development
CSA-219,Envisioneer seamless applications,Pen Test Review,Medium,Open,Carol Barker,2024-04-02,,4.8,Low,KRI,Network Operations
CSA-220,Revolutionize extensible paradigms,Director Review_4,Low,Resolved,Donna Taylor DDS,2024-09-17,2024-06-30,9.5,Low,KRI,Risk and Compliance
CSA-221,Utilize frictionless functionalities,Procurement Review,Critical,Resolved,Scott Oliver,2024-04-01,2024-07-10,3,Medium,KRI,Network Operations
CSA-222,Enable real-time users,Cloud Assessment,High,In Progress,Robert Pruitt,2024-02-05,2024-09-26,8.1,High,KPI,Procurement
CSA-223,Monetize proactive web services,Cloud Assessment,Medium,In Progress,Joel Moore,2024-08-20,,1.7,High,KRI,Application Development
CSA-224,Embrace visionary mindshare,Director Review_4,Critical,Resolved,Victor Mccormick,2024-10-01,2024-08-23,4,High,KRI,Software Engineering
CSA-225,Maximize strategic architectures,Pen Test Review,Medium,Open,Kenneth Tate,2024-05-05,2024-05-13,1.3,Low,KRI,Cloud Infrastructure
CSA-226,Engage back-end interfaces,Director Review_5,Medium,Open,Jerry Edwards,2024-06-06,,9.5,High,KPI,Application Development
CSA-227,Mesh collaborative platforms,Risk Assessment_4,Low,Open,Misty Macias,2024-03-15,,9,Low,KPI,Software Development
CSA-228,Revolutionize enterprise infrastructures,Director Review_2,Medium,In Progress,Taylor Barnes,2024-02-29,,5.1,Low,KPI,HR and User Awareness
CSA-229,Brand b2c schemas,Business Assessment,Critical,Resolved,Justin Gonzalez,2024-05-21,2024-03-04,5.8,Medium,KRI,Procurement
CSA-230,Utilize b2c e-commerce,Penetration Testing,Low,In Progress,Amy Newman,2024-07-04,2024-04-10,8,Low,KPI,Penetration Testing Team
CSA-231,Architect impactful users,Legal Assessment,Low,In Progress,Andrew Moore,2024-01-22,,2.5,Low,KPI,Application Development
CSA-232,Synergize granular action-items,Risk Assessment_7,High,Open,Thomas Ayala,2024-08-28,,3,Medium,KPI,IT Operations
CSA-233,Maximize back-end e-commerce,Director Review_1,Low,In Progress,Lisa Maxwell,2024-09-01,,3.6,High,KPI,Risk and Compliance
CSA-234,Transform seamless channels,Pen Test Review,Low,In Progress,Christy Werner,2024-10-11,,1.2,High,KRI,Software Engineering
CSA-235,Incentivize end-to-end interfaces,Pen Test Review,Low,Resolved,Alan Vargas,2024-02-08,2024-01-10,6.4,Medium,KPI,Risk and Compliance
CSA-236,Brand front-end experiences,Risk Assessment_5,Medium,In Progress,Ronald Rodriguez,2024-06-27,,4.3,Low,KPI,Cloud Infrastructure
CSA-237,Expedite 24/365 e-markets,Director Review_5,High,In Progress,Adam Lucas,2024-10-07,2024-06-09,8.3,Medium,KPI,Procurement
CSA-238,Envisioneer revolutionary experiences,Risk Assessment_5,Medium,In Progress,Richard Smith,2024-04-03,,9.2,High,KRI,Penetration Testing Team
CSA-239,Facilitate bleeding-edge relationships,Director Review_5,Medium,In Progress,Caleb Frank,2024-07-25,2024-08-29,6,Low,KRI,IT Operations
CSA-240,Embrace b2c initiatives,Risk Assessment_3,High,Resolved,Jose Thomas,2024-10-18,2024-05-06,4.6,Medium,KPI,Data Privacy
CSA-241,Incubate integrated portals,Pen Test Review,Medium,Resolved,Jennifer Butler,2024-05-15,2024-06-04,4.9,High,KPI,Penetration Testing Team
CSA-242,Exploit transparent e-markets,Risk Assessment_3,High,Open,James Roberts,2024-08-14,2024-01-08,3.4,Medium,KPI,Software Engineering
CSA-243,Empower innovative e-tailers,Procurement Review,Low,Resolved,Tracey Harris,2024-01-27,2024-03-15,6.6,High,KRI,Application Development
CSA-244,Revolutionize plug-and-play models,Director Review_4,Medium,In Progress,Terri Norman,2024-07-15,,9.1,Medium,KPI,Risk and Compliance
CSA-245,Scale integrated schemas,Legal Assessment,High,Open,Lisa Lee,2024-08-28,2024-02-01,6.9,Medium,KPI,Application Development
CSA-246,Disintermediate b2b architectures,Director Review_3,Critical,In Progress,Theresa Weaver,2024-07-28,2024-04-11,7.2,Low,KRI,Security and Risk
CSA-247,E-enable virtual web-readiness,Risk Assessment_3,High,Open,Erica Jenkins,2024-01-12,2024-05-03,8.5,Low,KRI,IT Security
CSA-248,Drive visionary deliverables,Risk Assessment_3,Medium,In Progress,Jeremy Potter,2024-05-08,2024-10-07,7.6,Medium,KPI,Application Development
CSA-249,Matrix interactive interfaces,Risk Assessment_3,High,Open,Grant Melton,2024-03-17,,4,High,KPI,Risk and Compliance
CSA-250,Morph user-centric deliverables,Management Assessment,Low,Resolved,Christopher Jones,2024-08-19,2024-04-25,3.3,Low,KRI,Security and Risk
CSA-251,Synthesize b2c schemas,Threat Risk Assessment,High,Resolved,Joseph Boyd,2024-09-06,,6.6,Medium,KPI,IT Security
CSA-252,Envisioneer interactive interfaces,Threat Risk Assessment,Medium,Open,Angela Frazier,2024-02-05,,6.9,Low,KRI,Legal and Compliance
CSA-253,Deliver plug-and-play architectures,Business Assessment,Low,In Progress,Steve Leon,2024-05-04,,5.7,High,KRI,IT Security
CSA-254,Envisioneer magnetic functionalities,Vulnerability Assessment,Medium,In Progress,Michelle Jackson,2024-08-10,2024-01-27,2.6,High,KRI,Software Development
CSA-255,Deliver sticky supply-chains,Control Risk Assessment,Low,In Progress,Carolyn Baird,2024-09-14,2024-02-04,5.2,High,KPI,Risk and Compliance
CSA-256,Innovate enterprise e-markets,Cloud Assessment,Medium,In Progress,Natalie Wilcox,2024-02-09,,2.5,High,KRI,Network Operations
CSA-257,Integrate front-end synergies,Risk Assessment_2,High,Open,Kayla Thompson,2024-03-13,,6.8,Medium,KPI,Network Operations
CSA-258,Benchmark dot-com networks,Control Risk Assessment,Critical,Resolved,Michelle Mccarthy,2024-04-06,2024-05-26,7.7,Low,KPI,IT Operations
CSA-259,Target extensible metrics,Director Review_3,Low,Resolved,Marie Perez DDS,2024-03-19,2024-05-15,8.9,High,KPI,Software Engineering
CSA-260,Scale killer applications,Director Review_1,Low,Open,Jerome Smith,2024-01-14,2024-10-03,2.1,Medium,KRI,Software Engineering
CSA-261,Streamline intuitive web services,Pen Test Review,Medium,Resolved,Randy Green,2024-07-01,2024-05-15,8.6,Low,KRI,Security and Risk
CSA-262,Whiteboard global niches,Risk Assessment_4,Medium,Open,Jennifer Snyder,2024-05-25,,5.9,Low,KPI,Application Development
CSA-263,Mesh back-end portals,Director Review_4,Low,In Progress,William Franco,2024-07-06,2024-02-03,6.7,Medium,KPI,Legal and Compliance
CSA-264,Revolutionize e-business infrastructures,Procurement Review,Low,Resolved,Jackie Edwards,2024-10-11,2024-07-07,6.1,Low,KPI,Network Operations
CSA-265,Optimize plug-and-play supply-chains,Threat Risk Assessment,Medium,Resolved,Frank Cunningham,2024-08-11,2024-04-08,2.9,Low,KRI,Procurement
CSA-266,Empower b2b metrics,Application Security Assessment,Low,In Progress,Jamie Boone,2024-07-02,2024-04-06,5.5,Low,KPI,IT Operations
CSA-267,Morph cross-media e-services,Risk Assessment_4,Critical,Open,Mitchell Thomas,2024-02-04,2024-10-03,5.2,Low,KPI,Data Privacy
CSA-268,Transition b2b experiences,Risk Assessment_7,Low,Open,Cheryl Alvarado,2024-04-06,2024-07-06,5.3,High,KRI,HR and User Awareness
CSA-269,Transition plug-and-play bandwidth,Procurement Review,High,Open,Jennifer Perez,2024-10-04,2024-10-09,6.7,High,KPI,Security and Risk
CSA-270,Engineer distributed schemas,Risk Assessment_5,Medium,Resolved,David Watson,2024-09-20,,3.2,Medium,KPI,Network Operations
CSA-271,Matrix next-generation markets,Asset Identification and Classification,Medium,Resolved,Ronald Phelps,2024-03-01,,9.9,High,KPI,Security and Risk
CSA-272,Expedite visionary markets,Director Review_2,Medium,Open,Laura Ellis,2024-01-09,,7.8,Medium,KRI,IT Operations
CSA-273,Exploit efficient e-tailers,Director Review_6,Medium,In Progress,Curtis Carey,2024-01-02,2024-06-19,7.5,High,KRI,Software Engineering
CSA-274,Mesh mission-critical vortals,Threat Identification,High,Open,Angel Hogan,2024-02-26,,3.4,High,KRI,Software Development
CSA-275,Aggregate plug-and-play methodologies,Procurement Review,Medium,Resolved,Jennifer Jones,2024-06-04,,8.3,Medium,KPI,Software Engineering
CSA-276,Seize back-end markets,Director Review_2,High,In Progress,Laura Mills,2024-09-12,2024-02-19,1.8,Medium,KRI,HR and User Awareness
CSA-277,Leverage distributed eyeballs,Threat Risk Assessment,Medium,Resolved,Julie Koch,2024-06-11,2024-01-18,3.7,Medium,KRI,Risk and Compliance
CSA-278,Engage dot-com communities,Impact Analysis,Medium,Open,Amy Williams,2024-01-28,,7.8,Medium,KRI,Legal and Compliance
CSA-279,Incubate efficient functionalities,Application Security Assessment,High,Open,Caroline Medina,2024-02-25,2024-05-17,2.9,Low,KPI,Network Operations
CSA-280,Benchmark frictionless functionalities,Risk Assessment_4,Medium,Open,Laura Parsons,2024-06-16,2024-06-06,4.5,Low,KRI,Procurement
CSA-281,Cultivate synergistic eyeballs,Pen Test Review,Critical,Open,Tanya Hernandez,2024-07-16,,6.5,Medium,KRI,Software Development
CSA-282,Morph user-centric e-services,Penetration Testing,High,In Progress,Rebecca Kelly,2024-07-26,2024-08-27,8.1,High,KPI,Legal and Compliance
CSA-283,Repurpose efficient functionalities,Impact Analysis,High,Open,Jessica Heath,2024-10-04,2024-05-29,2.4,Low,KPI,Software Engineering
CSA-284,Transform visionary bandwidth,Control Risk Assessment,Critical,In Progress,William Hall,2024-04-14,,1.1,Medium,KPI,Risk and Compliance
CSA-285,Enhance distributed metrics,Director Review_5,Critical,Resolved,Joseph Mendez,2024-01-03,,3.1,Medium,KPI,Risk and Compliance
CSA-286,Deploy magnetic technologies,Management Assessment,Medium,Open,Shawn Bennett,2024-02-13,2024-01-02,1.3,Low,KRI,Cloud Infrastructure
CSA-287,Matrix strategic methodologies,Risk Assessment_7,High,In Progress,Robert Olson,2024-10-02,,9.3,High,KRI,Cloud Infrastructure
CSA-288,Transition robust e-commerce,Risk Assessment_7,Critical,In Progress,Jennifer Carr,2024-07-16,,1.8,Medium,KRI,IT Operations
CSA-289,Engage rich info-mediaries,Cloud Assessment,Medium,Resolved,Daniel Knox,2024-10-05,,3.2,Low,KPI,IT Security
CSA-290,Envisioneer interactive channels,Cloud Assessment,Low,Resolved,Norma Cole,2024-04-02,,5.4,Low,KRI,HR and User Awareness
CSA-291,Deploy distributed methodologies,Vulnerability Assessment,Medium,Resolved,Carlos Garcia,2024-08-17,2024-08-18,2.8,Low,KPI,Procurement
CSA-292,Synthesize robust solutions,Threat Identification,Critical,In Progress,Alison Brown,2024-03-18,,7.4,High,KPI,HR and User Awareness
CSA-293,Empower holistic info-mediaries,Control Risk Assessment,Low,In Progress,Joseph Young,2024-07-20,,8.9,Medium,KRI,IT Security
CSA-294,Monetize user-centric relationships,Procurement Review,High,In Progress,Kimberly Dudley,2024-01-19,2024-04-02,7.6,High,KPI,Network Operations
CSA-295,Empower ubiquitous functionalities,Application Security Assessment,Low,Resolved,Brittany Delgado,2024-03-19,,3.1,Medium,KRI,Software Development
CSA-296,Innovate holistic applications,Impact Analysis,Low,In Progress,Geoffrey Baldwin,2024-04-20,2024-06-16,6.5,Low,KPI,IT Operations
CSA-297,Monetize real-time web-readiness,Risk Assessment_2,High,In Progress,Grant Valencia,2024-08-11,2024-05-17,4.7,Medium,KPI,Penetration Testing Team
CSA-298,Deploy intuitive metrics,Risk Assessment_7,Critical,Resolved,Edward Sullivan Jr.,2024-03-18,2024-01-20,3.9,Low,KRI,Software Development
CSA-299,Engineer efficient functionalities,Director Review_6,High,Open,Gordon Villa,2024-08-07,,9.2,Medium,KRI,Application Development
CSA-300,Drive revolutionary eyeballs,Director Review_3,Low,Resolved,Kristina Mitchell,2024-07-04,2024-09-21,9.9,High,KPI,Cloud Infrastructure
CSA-301,Engineer cutting-edge content,Risk Assessment_4,Low,Open,Faith Becker,2024-03-28,2024-07-27,7,Medium,KRI,Software Engineering
CSA-302,Envisioneer customized mindshare,Threat Risk Assessment,Critical,Resolved,Michael Alexander,2024-03-28,,1.7,High,KRI,IT Security
CSA-303,Mesh extensible paradigms,Risk Assessment_2,Low,In Progress,Allen Turner,2024-09-27,2024-08-25,8.7,High,KRI,IT Operations
CSA-304,Embrace enterprise technologies,Risk Assessment_5,High,Resolved,Teresa Baldwin,2024-07-07,,3.5,Medium,KRI,Legal and Compliance
CSA-305,Empower virtual deliverables,Business Assessment,Critical,Resolved,Priscilla York,2024-04-07,,5.5,Medium,KRI,Cloud Infrastructure
CSA-306,Revolutionize interactive relationships,Asset Identification and Classification,Low,Resolved,Jill Davis,2024-01-17,,7.9,Low,KRI,Procurement
CSA-307,Syndicate efficient e-business,Vulnerability Assessment,Low,In Progress,Samantha Edwards,2024-09-06,,1.1,Medium,KRI,Application Development
CSA-308,Envisioneer front-end e-services,Pen Test Review,Low,Open,Nicholas Taylor,2024-06-01,,1.7,High,KPI,Legal and Compliance
CSA-309,Implement killer content,Legal Assessment,High,In Progress,Kelly Johnson,2024-08-05,2024-07-18,1.1,Low,KRI,IT Operations
CSA-310,Whiteboard cutting-edge deliverables,Risk Assessment_6,Low,In Progress,Mary Gonzalez,2024-03-01,2024-01-29,7.7,Medium,KPI,Risk and Compliance
CSA-311,Evolve back-end deliverables,Risk Assessment_7,Medium,In Progress,Veronica Baird,2024-02-02,,4.8,Low,KRI,Network Operations
CSA-312,Benchmark user-centric e-business,Threat Identification,Critical,Resolved,Nicole Gomez,2024-06-06,2024-10-13,7.6,Medium,KPI,Security and Risk
CSA-313,Unleash granular technologies,Director Review_2,Low,Resolved,Heather Reeves,2024-02-16,,5.8,Medium,KPI,Risk and Compliance
CSA-314,Generate strategic e-tailers,Application Security Assessment,Critical,Open,Richard Peterson,2024-03-12,2024-06-27,3.1,Low,KRI,Legal and Compliance
CSA-315,Empower end-to-end bandwidth,Director Review_3,Low,Resolved,Justin Day,2024-04-10,2024-02-24,8,High,KRI,Software Engineering
CSA-316,Drive cross-platform users,Director Review_4,Critical,Open,Lauren Martin,2024-01-18,,2,High,KPI,Software Development
CSA-317,Whiteboard innovative functionalities,Risk Assessment_2,Critical,Resolved,Devin Chavez,2024-09-30,2024-07-20,3.1,Low,KRI,Procurement
CSA-318,Engineer front-end e-commerce,Risk Assessment_6,High,Open,Katie Sims,2024-10-13,2024-07-21,9.8,High,KPI,HR and User Awareness
CSA-319,Matrix integrated web services,Risk Assessment_5,Critical,In Progress,Joshua Moore,2024-05-16,,7.5,High,KPI,Legal and Compliance
CSA-320,Implement end-to-end e-services,Director Review_2,Medium,In Progress,Marco Bates,2024-08-19,,9.3,High,KRI,IT Operations
CSA-321,Re-contextualize back-end models,Risk Assessment_4,Critical,In Progress,Cheryl Washington,2024-07-09,2024-08-31,6.7,High,KPI,Data Privacy
CSA-322,Matrix efficient content,Impact Analysis,Low,Resolved,Rachel Valencia MD,2024-03-20,,8.3,Medium,KRI,Software Development
CSA-323,Expedite cutting-edge channels,Business Assessment,Low,In Progress,Michael Castillo,2024-05-29,2024-02-28,5.3,Low,KRI,Network Operations
CSA-324,Transition bleeding-edge web-readiness,Director Review_5,Critical,Open,Kristopher Hudson,2024-08-02,,5.2,Medium,KRI,Network Operations
CSA-325,Incubate end-to-end models,Director Review_3,Low,Open,Sara Olson,2024-07-03,2024-05-03,6.2,Medium,KRI,Data Privacy
CSA-326,Unleash wireless e-tailers,Cloud Assessment,Low,Resolved,Crystal Mullins,2024-07-15,,3.9,Low,KPI,Risk and Compliance
CSA-327,Incentivize mission-critical e-services,Business Assessment,High,In Progress,Rachel Perez,2024-07-16,2024-08-08,7.3,High,KPI,Procurement
CSA-328,Iterate innovative interfaces,Director Review_3,Medium,In Progress,Joshua Taylor,2024-08-27,2024-01-28,2.6,High,KPI,Data Privacy
CSA-329,Revolutionize plug-and-play schemas,Risk Assessment_5,High,Open,Dakota Malone,2024-05-06,,9,High,KRI,Software Development
CSA-330,Cultivate customized bandwidth,Procurement Review,Medium,Resolved,John Johnson,2024-01-18,,6.9,Medium,KRI,Network Operations
CSA-331,Aggregate robust communities,Procurement Review,Critical,Resolved,Jeffery Webb,2024-03-18,,1.9,Low,KRI,HR and User Awareness
CSA-332,Scale value-added channels,Risk Assessment_4,Critical,Resolved,Brandy Livingston,2024-03-20,2024-01-07,6.6,High,KPI,Procurement
CSA-333,Mesh b2c e-markets,Director Review_3,Medium,In Progress,Derek Phillips,2024-09-08,,7.9,Medium,KPI,Cloud Infrastructure
CSA-334,Strategize rich content,Control Risk Assessment,Low,Resolved,Andrew Beasley,2024-08-08,,8.5,High,KRI,Cloud Infrastructure
CSA-335,Unleash proactive users,Director Review_2,Critical,Open,Ricky Davenport,2024-06-13,,6.7,High,KRI,Legal and Compliance
CSA-336,Extend extensible e-business,Director Review_1,High,Open,Stefanie Pace,2024-10-10,,9.5,Medium,KRI,Application Development
CSA-337,Revolutionize 24/365 systems,Pen Test Review,Low,In Progress,Wayne Gross,2024-09-05,2024-07-01,4.4,High,KPI,IT Operations
CSA-338,Target customized e-commerce,Risk Assessment_5,Critical,Resolved,Perry Munoz,2024-03-08,2024-02-12,9.9,Low,KPI,IT Security
CSA-339,Re-intermediate wireless roi,Risk Assessment_4,High,In Progress,Nicholas Moore,2024-02-05,2024-10-10,6,High,KPI,Software Development
CSA-340,Transform customized info-mediaries,Director Review_6,High,Resolved,Alyssa Campbell,2024-08-06,2024-07-13,2.8,High,KPI,Software Development
CSA-341,Enhance b2b action-items,Risk Assessment_4,Low,In Progress,Jessica Villanueva,2024-01-18,2024-02-18,4.6,High,KPI,Application Development
CSA-342,Streamline web-enabled content,Risk Assessment_1,High,Open,Theodore Garcia,2024-05-23,,8.6,Low,KRI,Security and Risk
CSA-343,Engage bleeding-edge experiences,Management Assessment,Medium,In Progress,Brandon Grant,2024-03-11,,1.7,Low,KRI,Software Development
CSA-344,Transition best-of-breed supply-chains,Director Review_2,Medium,Open,Nichole Craig,2024-08-17,2024-01-03,8.7,Low,KPI,Risk and Compliance
CSA-345,Morph virtual markets,Vulnerability Assessment,High,In Progress,Joann Flowers,2024-05-21,,6.5,High,KRI,Software Engineering
CSA-346,Engineer extensible vortals,Application Security Assessment,Medium,Open,Krista Page,2024-08-10,2024-08-03,1.4,High,KRI,Security and Risk
CSA-347,Morph open-source initiatives,Asset Identification and Classification,Low,In Progress,Kelly Copeland,2024-08-01,,1.9,Medium,KPI,Data Privacy
CSA-348,Brand world-class metrics,Director Review_5,Critical,Resolved,Derrick Boyd,2024-06-14,2024-10-03,8.4,High,KPI,IT Operations
CSA-349,Visualize value-added supply-chains,Procurement Review,Critical,In Progress,Kevin Parker,2024-08-15,2024-03-28,7.3,Low,KRI,Application Development
CSA-350,Expedite granular architectures,Threat Identification,Low,Open,Paul Edwards,2024-08-26,,4.8,Medium,KRI,Software Development
CSA-351,Synergize enterprise content,Pen Test Review,High,Resolved,Dillon Lawson,2024-07-05,,2.6,Low,KPI,Security and Risk
CSA-352,Brand strategic experiences,Control Risk Assessment,Low,Resolved,Dana Bradley,2024-08-27,,3.9,High,KRI,Software Development
CSA-353,Deliver customized partnerships,Impact Analysis,Medium,In Progress,Michelle Mccullough,2024-09-16,,1.9,Low,KPI,Data Privacy
CSA-354,Seize global action-items,Director Review_2,Low,In Progress,Jason Davis,2024-05-29,2024-02-18,3.8,Medium,KPI,Risk and Compliance
CSA-355,Re-intermediate rich communities,Penetration Testing,High,In Progress,Regina Anderson,2024-09-18,,9.1,Medium,KPI,Penetration Testing Team
CSA-356,Engage ubiquitous solutions,Risk Assessment_3,High,Open,Krista Garcia,2024-07-28,,1.1,Medium,KPI,Risk and Compliance
CSA-357,Cultivate integrated paradigms,Risk Assessment_6,High,Resolved,Scott Vargas,2024-08-17,,9.8,High,KPI,Application Development
CSA-358,Reinvent best-of-breed roi,Threat Risk Assessment,Medium,Open,Michael Delacruz,2024-02-20,2024-04-18,3.2,High,KPI,Procurement
CSA-359,Iterate bricks-and-clicks web services,Risk Assessment_1,High,Open,Kaitlyn Molina,2024-07-30,2024-07-23,5.5,Medium,KRI,Cloud Infrastructure
CSA-360,Transition value-added channels,Director Review_4,Critical,Resolved,Alexandra Bell,2024-04-13,,8,High,KRI,Application Development
CSA-361,Empower world-class web-readiness,Risk Assessment_5,Low,In Progress,Gary Williams,2024-04-26,,8.6,Low,KPI,Legal and Compliance
CSA-362,Optimize scalable channels,Threat Identification,High,In Progress,David Johnson,2024-07-28,2024-07-10,2,High,KPI,Software Engineering
CSA-363,Incentivize transparent platforms,Cloud Assessment,Low,Open,Shelly Anthony,2024-07-01,2024-03-23,3.8,Low,KRI,Legal and Compliance
CSA-364,Exploit clicks-and-mortar schemas,Management Assessment,Low,In Progress,Matthew Roman,2024-01-03,2024-09-28,6.5,High,KPI,Procurement
CSA-365,Leverage cross-media communities,Asset Identification and Classification,Critical,Open,Diane Cortez,2024-09-11,,5,Medium,KRI,Penetration Testing Team
CSA-366,Maximize 24/7 applications,Director Review_1,Low,In Progress,Stephen Arias,2024-05-23,2024-01-10,9.2,Low,KRI,IT Operations
CSA-367,Implement efficient channels,Director Review_2,High,In Progress,Michael Hampton,2024-09-28,,7.1,Medium,KRI,Security and Risk
CSA-368,Implement frictionless models,Vulnerability Assessment,Low,Open,Travis Case,2024-01-22,2024-05-31,5.9,Medium,KPI,IT Operations
CSA-369,Transform plug-and-play networks,Threat Risk Assessment,High,Resolved,Nancy Austin,2024-03-25,,8.7,Low,KPI,Procurement
CSA-370,Streamline intuitive portals,Legal Assessment,Low,Open,David Lewis,2024-01-21,2024-05-11,5,Medium,KPI,Software Engineering
CSA-371,Integrate back-end bandwidth,Risk Assessment_1,High,Open,Mr. Johnny Vincent,2024-06-02,2024-06-03,6.1,Medium,KPI,Network Operations
CSA-372,Harness viral models,Risk Assessment_5,Low,In Progress,David Davis,2024-09-19,2024-03-16,3.3,Medium,KPI,Software Engineering
CSA-373,Innovate distributed content,Threat Risk Assessment,Medium,Resolved,Rebecca Cooper,2024-05-05,2024-10-06,7.6,Low,KRI,HR and User Awareness
CSA-374,Unleash robust systems,Penetration Testing,Medium,Resolved,Jennifer Higgins,2024-03-19,2024-04-13,3.1,Low,KRI,Software Engineering
CSA-375,Architect distributed interfaces,Threat Risk Assessment,Critical,In Progress,Bradley Krueger,2024-10-13,2024-09-01,7.1,Low,KRI,IT Security
CSA-376,Innovate sticky solutions,Risk Assessment_1,High,Resolved,Amanda Miller,2024-01-01,2024-04-17,5.1,High,KPI,Legal and Compliance
CSA-377,Transform virtual deliverables,Risk Assessment_5,Low,In Progress,Christopher Warren,2024-03-15,,7,Medium,KPI,IT Operations
CSA-378,Target best-of-breed e-markets,Penetration Testing,Critical,In Progress,Stephanie Edwards,2024-02-18,2024-06-30,3,Low,KPI,Risk and Compliance
CSA-379,Strategize plug-and-play web services,Risk Assessment_1,High,In Progress,Austin Reese,2024-02-16,2024-01-25,1,Medium,KRI,Cloud Infrastructure
CSA-380,Morph impactful e-services,Procurement Review,Medium,Open,Curtis Mullins,2024-06-07,,7.9,Medium,KPI,IT Operations
CSA-381,Maximize viral communities,Legal Assessment,Medium,In Progress,Michael Ortega,2024-02-11,2024-02-09,3.7,Low,KRI,Legal and Compliance
CSA-382,Transform end-to-end vortals,Vulnerability Assessment,Critical,In Progress,Cheryl White,2024-04-09,,9.8,High,KRI,Network Operations
CSA-383,Benchmark magnetic supply-chains,Threat Identification,Critical,Open,Allison Schultz,2024-03-06,,1.6,High,KRI,IT Security
CSA-384,Enhance scalable paradigms,Asset Identification and Classification,Medium,Resolved,Jose Adams,2024-07-31,,3.1,Low,KPI,HR and User Awareness
CSA-385,Grow cross-platform functionalities,Business Assessment,Low,In Progress,Daisy Beck,2024-08-16,,5.7,High,KRI,Data Privacy
CSA-386,Embrace seamless content,Application Security Assessment,High,Open,Brian Hardy,2024-05-31,2024-02-05,1.6,High,KPI,IT Security
CSA-387,Transform ubiquitous web-readiness,Director Review_3,High,In Progress,Daniel Patrick,2024-06-19,,7.8,High,KRI,HR and User Awareness
CSA-388,Deploy collaborative content,Director Review_6,High,Resolved,Sarah Jones,2024-09-18,,3.5,High,KPI,Software Development
